Kategori,Detail,Vendor,PIC,Kontak,Email,Alamat,Respon Vendor,Termin Pembayaran
Advertising,"Cetak nota, lanyard, kalender, kartu nama, Surat Jalan, dsb.",Zay Digital Printing,Abi,08815887682,,Krian,,Cash 
Advertising,"Cetak nota, lanyard, kalender, kartu nama, Surat Jalan, dsb.",Nizar Advertising,Nizar,081232501317,,Krian,Cukup Cepat,Cash 
Advertising,"Custom sablon akrilik, dsb.",Bagus Advertising,Bagus,085655503425,,Driyorejo,,Cash 
Advertising,"Kartu nama, Id card, brosur, dsb.",Exodus,Admin,081234400061,,"Mojokerto, Jl. Cinde Prajurit Kulon",,Cash 
Advertising,Stempel,Wahyu,Admin,085730201515,,"Mojokerto, Mojopahit, Depan Mandiri / Pizzahut",,Cash 
Advertising,Notebook Bulpen Custom,Sae Saestu,Admin,0821-8888-9553,,Mlg,,Cash 
Advertising,Tumblr,Buanagift,Admin,0877-9760-0999,,Sby,,Cash 
Advertising,Printing,Exodus,Admin,0812-3440-0061,,Mjk,,Cash 
Advertising,Iklan Loker,LokerMLG,Admin,0823-3662-7215,,Mlg,,Cash 
Advertising,Iklan rumah,Rumah 123,Lutfi,0857-1171-4458,,Sby,,Cash 
Advertising,Printing,Prima Digiprint,Admin,0857-7171-2872,,Sby,,Cash 
Advertising,Totebag Custom,Widytrans,Widytrans,0822-4221-9991,,Sby,,Cash 
Advertising,,Khaidir Propaganda,,085231719474,,Jl. Raya Bratang Gede VI F No. 52,Cepat,Cash
Aki (Accu),,Accu GS,Admin,081252754137,,,,Cash 
Aki (Accu),,Aki Sby,Bu Nila,081235463000,,Sby,,Cash 
Aki (Accu),,Banoki,Admin,082211501150,,Sby,,Cash 
Aki (Accu),,Duta Mulia,Admin,08981563833,,"Kedungdoro, Sby",,Cash 
Aki (Accu),,Sumber Aki,Pak Agus,082231166663,,Sby,Cukup Cepat,Cash 
Aki (Accu),,Sumber Aki,Noniek,0817393930,,Sby,Cepat,Cash 
Aki (Accu),,Toko Aki Embong Malang,Admin,083154582777,,Sby,Cepat,Cash 
Alat Cleaning/Kebersihan,"Vacuum cleaner, selang, spray gun, dsb.",Karcher Dealer And Service Center,Bu Putri,+62 878-9969-9111,,Jl. Raya Jemursari No. 100 Surabaya,Cukup Cepat,"Cash, CC"
